,job_category,state,average_salary,median_salary,observations,Full_state,hovertext,average_total_cost,median_total_cost,avg_salary_after_COL,median_salary_after_COL
0,data analyst,AL,53877.0,53877.0,1,Alabama,Alabama<br>Average Salary: 53877.0<br>Observations: 1,29860.22274985075,29315.443440000003,24016.77725014925,24561.556559999997
1,data analyst,AR,74844.0,74844.0,1,Arkansas,Arkansas<br>Average Salary: 74844.0<br>Observations: 1,28304.6267824,28087.95564,46539.373217600005,46756.04436
2,data scientist,AR,54281.0,54281.0,1,Arkansas,Arkansas<br>Average Salary: 54281.0<br>Observations: 1,28304.6267824,28087.95564,25976.3732176,26193.04436
3,data analyst,AZ,68167.59999999999,64075.0,3,Arizona,Arizona<br>Average Salary: 68167.6<br>Observations: 3,32551.364504,32436.233399999997,35616.235495999994,31638.766600000003
4,data engineer,AZ,88617.5,88617.5,2,Arizona,Arizona<br>Average Salary: 88617.5<br>Observations: 2,32551.364504,32436.233399999997,56066.135496,56181.2666
5,data analyst,CA,113837.42222222223,86650.0,18,California,California<br>Average Salary: 113837.42<br>Observations: 18,39976.41297517242,36981.52626,73861.0092470498,49668.47374
6,data engineer,CA,126787.33333333333,135168.0,12,California,California<br>Average Salary: 126787.33<br>Observations: 12,39976.41297517242,36981.52626,86810.92035816092,98186.47374
7,data scientist,CA,133823.572,130393.5,50,California,California<br>Average Salary: 133823.57<br>Observations: 50,39976.41297517242,36981.52626,93847.15902482756,93411.97374
8,machine learning engineer,CA,130544.3125,137091.5,16,California,California<br>Average Salary: 130544.31<br>Observations: 16,39976.41297517242,36981.52626,90567.89952482758,100109.97374
9,other,CA,126636.7,108631.0,4,California,California<br>Average Salary: 126636.7<br>Observations: 4,39976.41297517242,36981.52626,86660.28702482759,71649.47374
10,data analyst,CO,84785.71428571429,87500.0,7,Colorado,Colorado<br>Average Salary: 84785.71<br>Observations: 7,34075.25935125,32765.55126,50710.45493446429,54734.44874
11,data engineer,CO,136188.5,136188.5,2,Colorado,Colorado<br>Average Salary: 136188.5<br>Observations: 2,34075.25935125,32765.55126,102113.24064875,103422.94873999999
12,data scientist,CO,123681.0,125000.0,9,Colorado,Colorado<br>Average Salary: 123681.0<br>Observations: 9,34075.25935125,32765.55126,89605.74064875,92234.44873999999
13,machine learning engineer,CO,91950.0,91950.0,1,Colorado,Colorado<br>Average Salary: 91950.0<br>Observations: 1,34075.25935125,32765.55126,57874.74064875,59184.44874
14,other,CO,94450.0,94450.0,1,Colorado,Colorado<br>Average Salary: 94450.0<br>Observations: 1,34075.25935125,32765.55126,60374.74064875,61684.44874
15,data analyst,DE,78000.0,78000.0,1,Delaware,Delaware<br>Average Salary: 78000.0<br>Observations: 1,33849.577,34582.41252,44150.423,43417.58748
16,data scientist,DE,79087.0,79087.0,2,Delaware,Delaware<br>Average Salary: 79087.0<br>Observations: 2,33849.577,34582.41252,45237.423,44504.58748
17,data analyst,FL,65248.28571428572,65004.0,7,Florida,Florida<br>Average Salary: 65248.29<br>Observations: 7,32883.728290746265,32279.72952,32364.557423539452,32724.27048
18,data engineer,FL,87706.66666666667,92237.0,3,Florida,Florida<br>Average Salary: 87706.67<br>Observations: 3,32883.728290746265,32279.72952,54822.93837592041,59957.27048
19,data scientist,FL,105315.0,94231.5,6,Florida,Florida<br>Average Salary: 105315.0<br>Observations: 6,32883.728290746265,32279.72952,72431.27170925374,61951.77048
20,machine learning engineer,FL,105577.0,105577.0,2,Florida,Florida<br>Average Salary: 105577.0<br>Observations: 2,32883.728290746265,32279.72952,72693.27170925374,73297.27048
21,other,FL,43039.0,43039.0,1,Florida,Florida<br>Average Salary: 43039.0<br>Observations: 1,32883.728290746265,32279.72952,10155.271709253735,10759.27048
22,data analyst,GA,52826.0,52826.0,2,Georgia,Georgia<br>Average Salary: 52826.0<br>Observations: 2,30477.280173584906,29417.440440000002,22348.719826415094,23408.559559999998
23,data engineer,GA,133469.33333333334,122720.0,3,Georgia,Georgia<br>Average Salary: 133469.33<br>Observations: 3,30477.280173584906,29417.440440000002,102992.05315974844,93302.55956
24,data scientist,GA,103268.0,103268.0,1,Georgia,Georgia<br>Average Salary: 103268.0<br>Observations: 1,30477.280173584906,29417.440440000002,72790.7198264151,73850.55956
25,machine learning engineer,GA,101125.5,101125.5,2,Georgia,Georgia<br>Average Salary: 101125.5<br>Observations: 2,30477.280173584906,29417.440440000002,70648.2198264151,71708.05956
